Name,Province,Climate ID,Station ID,Latitude,Longitude,Elevation (m),First Year,Last Year,First Year (Hourly),Last Year (Hourly),First Year (Daily),Last Year (Daily),First Year (Monthly),Last Year (Monthly)
COWICHAN LAKE FORESTRY,BRITISH COLUMBIA,1012040,37,48.82,-124.13,176,1949,2018,-999,-999,1949,2018,1949,2007
COWICHAN LAKE HATCHERY,BRITISH COLUMBIA,1012046,38,48.83,-124.12,152,1931,1948,-999,-999,1931,1948,1931,1948
COWICHAN LAKE NITINAT,BRITISH COLUMBIA,1012052,39,48.93,-124.48,189,1959,1962,-999,-999,1959,1962,1959,1962
LAKE COWICHAN,BRITISH COLUMBIA,1012055,40,48.83,-124.05,171,1960,2019,-999,-999,1960,2019,1960,2007
CROFTON,BRITISH COLUMBIA,1012190,41,48.82,-123.67,30,1921,1968,-999,-999,1921,1968,1921,1968
DISCOVERY ISLAND,BRITISH COLUMBIA,1012475,27226,48.42,-123.23,18,1997,2019,1997,2019,1997,2019,1998,2005
DUNCAN,BRITISH COLUMBIA,1012550,42,48.78,-123.72,8,1926,1957,-999,-999,1926,1957,1926,1957
DUNCAN BCHPA VIT,BRITISH COLUMBIA,1012562,43,48.83,-123.72,36,1972,1976,-999,-999,1972,1976,1972,1976
DUNCAN EAST,BRITISH COLUMBIA,1012566,44,48.78,-123.68,7,1960,1964,-999,-999,1960,1964,1960,1964
DUNCAN FORESTRY,BRITISH COLUMBIA,1012570,45,48.77,-123.68,6,1958,1989,-999,-999,1958,1989,1958,1989
DUNCAN KELVIN CREEK,BRITISH COLUMBIA,1012573,46,48.73,-123.73,103,1987,2016,-999,-999,1987,2016,1987,2007
EAST SOOKE ANDERSON COVE,BRITISH COLUMBIA,1012628,47,48.35,-123.63,36,1966,1980,-999,-999,1966,1980,1966,1980
ELK LAKE,BRITISH COLUMBIA,1012655,48,48.52,-123.38,114,1957,1978,-999,-999,1957,1978,1957,1978
ELK LAKE 2,BRITISH COLUMBIA,1012656,49,48.53,-123.38,53,1980,1986,-999,-999,1980,1986,1980,1986
ESQUIMALT,BRITISH COLUMBIA,1012700,50,48.43,-123.42,13,1872,1950,-999,-999,1872,1950,1872,1950
ESQUIMALT LAGOON,BRITISH COLUMBIA,1012707,51,48.42,-123.47,15,1976,1978,-999,-999,1976,1978,1976,1978
ESQUIMALT HARBOUR,BRITISH COLUMBIA,1012710,52,48.43,-123.44,3,1957,2019,1994,2019,1957,2019,1957,2005
FINLAYSON ARM RD,BRITISH COLUMBIA,1012883,53,48.5,-123.53,167,1976,1977,-999,-999,1976,1977,1976,1977
GALIANO ISLAND GCC,BRITISH COLUMBIA,1013045,56,48.9,-123.35,15,1956,1977,-999,-999,1956,1977,1956,1977
GANGES MANSELL RD,BRITISH COLUMBIA,1013051,57,48.87,-123.5,45,1974,2014,-999,-999,1974,2014,1975,2007
GALIANO ISL BURRILL PT,BRITISH COLUMBIA,10130DE,54,48.87,-123.32,1,1970,1970,-999,-999,1970,1970,1970,1970
GALIANO NORTH,BRITISH COLUMBIA,10130MN,55,48.99,-123.57,6,1975,2019,-999,-999,1975,2019,1975,2007
GOLDSTREAM LAKE,BRITISH COLUMBIA,1013240,58,48.45,-123.55,458,1894,1953,-999,-999,1894,1953,1894,1953
GOLDSTREAM MEADOWS,BRITISH COLUMBIA,1013241,59,48.62,-123.53,64,1976,1976,-999,-999,1976,1976,1976,1976
HONEYMOON BAY NORTHWEST,BRITISH COLUMBIA,1013519,60,48.83,-124.19,170,1989,2003,-999,-999,1989,2003,1989,2003
JAMES ISLAND,BRITISH COLUMBIA,1013720,61,48.6,-123.35,53,1914,1978,-999,-999,1914,1978,1914,1978
KELP REEFS,BRITISH COLUMBIA,1013998,10853,48.55,-123.24,0,1997,2019,1997,2019,2018,2019,-999,-999
KUPER ISLAND,BRITISH COLUMBIA,1014430,62,48.97,-123.63,-999,1894,1905,-999,-999,1894,1905,1894,1905
LAKE COWICHAN,BRITISH COLUMBIA,1014493,63,48.82,-124.05,180,1924,1994,-999,-999,1924,1994,1924,1994
LANGFORD LAKE,BRITISH COLUMBIA,1014530,64,48.43,-123.53,75,1953,1983,-999,-999,1953,1983,1953,1983
MALAHAT,BRITISH COLUMBIA,1014818,10730,48.58,-123.58,275,1991,1992,1991,1992,-999,-999,-999,-999
MALAHAT,BRITISH COLUMBIA,1014820,65,48.57,-123.53,365,1920,2019,1994,2019,1920,2019,1920,2005
MAYNE ISLAND,BRITISH COLUMBIA,1014930,66,48.85,-123.33,9,1921,1942,-999,-999,1921,1942,1921,1942
MAYNE ISLAND,BRITISH COLUMBIA,1014931,67,48.84,-123.32,28,1970,2002,-999,-999,1970,2002,1970,2002
METCHOSIN,BRITISH COLUMBIA,1015105,68,48.37,-123.56,164,1911,2019,-999,-999,1911,2019,1915,2007
METCHOSIN HAPPY VALLEY,BRITISH COLUMBIA,1015107,69,48.42,-123.53,76,1970,1998,-999,-999,1970,1998,1970,1998
METCHOSIN MOUNTAIN,BRITISH COLUMBIA,1015109,70,48.4,-123.53,91,1972,1972,-999,-999,1972,1972,1972,1972
METCHOSIN PARRY BAY,BRITISH COLUMBIA,1015111,6809,48.38,-123.5,3,1991,1995,-999,-999,1991,1995,1991,1995
MILL BAY KILMALU,BRITISH COLUMBIA,1015134,71,48.65,-123.55,45,1972,1983,-999,-999,1972,1983,1972,1983
MILL BAY 1 SOUTHWEST,BRITISH COLUMBIA,1015136,72,48.64,-123.56,100,1989,2006,-999,-999,1989,2006,1989,2006
MILLSTREAM,BRITISH COLUMBIA,1015150,73,48.48,-123.55,213,1926,1941,-999,-999,1926,1941,1926,1941
MILNES LANDING,BRITISH COLUMBIA,1015160,74,48.35,-123.73,38,1910,1956,-999,-999,1910,1956,1910,1956
MUIR CREEK 1W,BRITISH COLUMBIA,1015242,75,48.38,-123.88,30,1970,1986,-999,-999,1970,1986,1970,1986
NORTH COWICHAN,BRITISH COLUMBIA,1015628,76,48.82,-123.72,45,1981,2019,-999,-999,1981,2019,1981,2007
NORTH COWICHAN,BRITISH COLUMBIA,1015630,46728,48.82,-123.72,44,2007,2019,2007,2019,2007,2019,-999,-999
NORTH PENDER ISLAND,BRITISH COLUMBIA,1015638,77,48.76,-123.29,98,1972,2019,-999,-999,1972,2019,1972,2007
PENDER ISLAND,BRITISH COLUMBIA,1016120,79,48.77,-123.3,26,1924,1999,-999,-999,1924,1999,1924,1999
PIERS ISLAND,BRITISH COLUMBIA,1016169,80,48.7,-123.42,17,1973,1985,-999,-999,1973,1985,1973,1985
POINT-NO-POINT,BRITISH COLUMBIA,1016203,81,48.41,-123.99,25,1990,2005,-999,-999,1990,2005,1990,2005
PORT RENFREW,BRITISH COLUMBIA,1016335,82,48.59,-124.33,10,1970,2014,-999,-999,1970,2014,1970,2007
RACE ROCKS,BRITISH COLUMBIA,1016640,10943,48.3,-123.53,7,1994,2019,1994,2019,1995,2019,-999,-999
RACE ROCKS LIGHTSTATION,BRITISH COLUMBIA,1016641,83,48.3,-123.53,4,1984,1997,-999,-999,1984,1997,1984,1997
RIVER JORDAN,BRITISH COLUMBIA,1016780,84,48.42,-124.05,3,1908,1972,-999,-999,1908,1972,1908,1972
SAANICHTON CDA,BRITISH COLUMBIA,1016940,87,48.62,-123.42,61,1914,2019,-999,-999,1914,2019,1914,2007
SAANICH CAMOSUN COLLEGE,BRITISH COLUMBIA,1016941,88,48.5,-123.42,38,1974,1975,-999,-999,1974,1975,1974,1975
SAANICH DENSMORE,BRITISH COLUMBIA,1016942,89,48.5,-123.4,59,1963,1992,-999,-999,1963,1992,1963,1992
SALTAIR,BRITISH COLUMBIA,1016980,90,48.97,-123.77,15,1959,1967,-999,-999,1959,1967,1959,1967
SALTSPRING ISLAND,BRITISH COLUMBIA,1016990,91,48.85,-123.5,73,1893,1977,-999,-999,1893,1977,1893,1977
SALTSPRING IS CUSHEON LK,BRITISH COLUMBIA,1016992,92,48.82,-123.48,107,1976,2001,-999,-999,1976,2001,1976,2001
SALTSPRING ST MARY'S L,BRITISH COLUMBIA,1016995,93,48.89,-123.55,45,1975,2019,-999,-999,1975,2019,1975,2007
SAANICH DOM ASTRO OBS,BRITISH COLUMBIA,10169DK,85,48.52,-123.42,222,1916,1977,-999,-999,1916,1977,1916,1977
SAANICH OLDFIELD,BRITISH COLUMBIA,10169MK,86,48.55,-123.42,69,1965,1966,-999,-999,1965,1966,1965,1966
SAANICHTON MT NEWTON,BRITISH COLUMBIA,1016RM0,78,48.6,-123.43,42,1980,2019,-999,-999,1980,2019,1980,2007
SALTSPRING VESUVIUS,BRITISH COLUMBIA,1017000,94,48.88,-123.57,7,1955,1975,-999,-999,1955,1975,1955,1975
SATURNA CAPMON,BRITISH COLUMBIA,1017098,95,48.78,-123.13,178,1989,2017,-999,-999,1989,2017,1989,2007
SATURNA CAPMON CS,BRITISH COLUMBIA,1017099,6810,48.78,-123.13,178,1991,2019,2006,2019,1991,2019,1991,2007
SATURNA ISLAND CS,BRITISH COLUMBIA,1017101,96,48.78,-123.04,24,1980,2019,1994,2019,1980,2019,1980,2007
SHAWNIGAN LAKE,BRITISH COLUMBIA,1017230,97,48.65,-123.63,159,1911,2019,-999,-999,1911,2019,1911,2007
SHAWNIGAN LAKE NORTH,BRITISH COLUMBIA,1017233,98,48.65,-123.63,149,1973,1976,-999,-999,1973,1976,1973,1976
SHERINGHAM POINT,BRITISH COLUMBIA,1017254,6811,48.38,-123.92,6,1992,2019,1994,2019,1992,2019,1992,2007
SIDNEY DEEP COVE,BRITISH COLUMBIA,1017329,99,48.68,-123.4,18,1967,1973,-999,-999,1967,1973,1967,1973
SOOKE,BRITISH COLUMBIA,1017556,100,48.37,-123.73,27,1970,1992,-999,-999,1970,1992,1970,1992
SOOKE GLINZ LAKE,BRITISH COLUMBIA,1017559,101,48.42,-123.63,256,1983,1995,-999,-999,1983,1995,1983,1995
SOOKE LAKE,BRITISH COLUMBIA,1017560,102,48.52,-123.7,172,1903,1966,-999,-999,1903,1966,1903,1966
SOOKE LAKE NORTH,BRITISH COLUMBIA,1017563,103,48.58,-123.64,231,1966,2011,-999,-999,1966,2011,1966,2007
SOOKE OTTER POINT,BRITISH COLUMBIA,1017570,104,48.37,-123.82,39,1974,1977,-999,-999,1974,1977,1974,1977
SOOKE SASEENOS,BRITISH COLUMBIA,1017575,105,48.38,-123.67,27,1976,1979,-999,-999,1976,1979,1976,1979
SOUTH PENDER ISLAND 2,BRITISH COLUMBIA,1017610,106,48.75,-123.22,91,1966,1982,-999,-999,1966,1982,1966,1982
TRIAL ISLAND,BRITISH COLUMBIA,1018238,27290,48.4,-123.3,23,1997,1998,1997,1998,1998,1998,-999,-999
VICTORIA AMROTH PLACE,BRITISH COLUMBIA,1018590,108,48.45,-123.28,18,1967,1969,-999,-999,1967,1969,1967,1969
VICTORIA ARDMORE,BRITISH COLUMBIA,1018592,109,48.63,-123.47,24,1973,1976,-999,-999,1973,1976,1973,1976
VICTORIA BAY STREET,BRITISH COLUMBIA,1018595,110,48.43,-123.37,13,1958,1961,-999,-999,1958,1961,1958,1961
VICTORIA UNIVERSITY CS,BRITISH COLUMBIA,1018598,6812,48.46,-123.3,60,1992,2019,1994,2019,1992,2019,1992,2007
VICTORIA CAREY ROAD,BRITISH COLUMBIA,1018600,111,48.47,-123.47,19,1966,1967,-999,-999,1966,1967,1966,1967
VICTORIA FRANCIS PARK,BRITISH COLUMBIA,1018605,112,48.48,-123.44,55,1962,2017,-999,-999,1962,2017,1962,2007
VICTORIA GONZALES HTS,BRITISH COLUMBIA,1018610,113,48.41,-123.33,69,1898,2004,1953,2000,1898,2004,1898,2004
VICTORIA GONZALES CS,BRITISH COLUMBIA,1018611,114,48.41,-123.32,61,1972,2019,1994,2019,1973,2019,1972,2007
VICTORIA GORDON HEAD,BRITISH COLUMBIA,1018614,115,48.47,-123.3,42,1959,1983,-999,-999,1959,1983,1959,1983
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018615,10944,48.42,-123.39,0,1994,2015,1994,2015,-999,-999,-999,-999
VICTORIA HIGHLAND,BRITISH COLUMBIA,1018616,116,48.51,-123.51,190,1961,2012,-999,-999,1961,2012,1961,2007
VICTORIA HOLLAND 2,BRITISH COLUMBIA,1018617,117,48.48,-123.41,15,1960,2002,-999,-999,1960,2002,1960,2002
VICTORIA HIGHLANDS NORTH,BRITISH COLUMBIA,1018618,49468,48.54,-123.5,230,2011,2017,-999,-999,2011,2017,-999,-999
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018619,53478,48.42,-123.39,0,2015,2019,2015,2019,-999,-999,-999,-999
VICTORIA INT'L A,BRITISH COLUMBIA,1018620,118,48.65,-123.43,19,1940,2013,1953,2013,1940,2013,1940,2013
VICTORIA INTL A,BRITISH COLUMBIA,1018621,51337,48.65,-123.43,19,2013,2019,2013,2019,2013,2019,-999,-999
VICTORIA JUBILEE,BRITISH COLUMBIA,1018629,119,48.43,-123.33,23,1968,1969,-999,-999,1968,1969,1968,1969
VICTORIA HARBOUR A,BRITISH COLUMBIA,1018633,53479,48.42,-123.39,0,2015,2019,2015,2019,2018,2019,-999,-999
VICTORIA LANSDOWNE,BRITISH COLUMBIA,1018640,120,48.43,-123.32,29,1954,1962,-999,-999,1954,1962,1954,1962
VICTORIA MARINE,BRITISH COLUMBIA,1018642,121,48.37,-123.75,31,1967,1992,1967,1992,1967,1992,1967,1992
VICTORIA MUSGRAVE STREET,BRITISH COLUMBIA,1018644,122,48.43,-123.3,15,1966,1967,-999,-999,1966,1967,1966,1967
VICTORIA NORTH DAIRY RD,BRITISH COLUMBIA,1018648,123,48.45,-123.33,40,1964,1965,-999,-999,1964,1965,1964,1965
VICTORIA NORTHRIDGE,BRITISH COLUMBIA,1018651,124,48.49,-123.4,37,1990,1999,-999,-999,1990,1999,1990,1999
VICTORIA ROWLEY ROAD,BRITISH COLUMBIA,1018657,125,48.47,-123.3,13,1962,1962,-999,-999,1962,1962,1962,1962
VICTORIA SINCLAIR ROAD,BRITISH COLUMBIA,1018658,126,48.47,-123.3,53,1960,1960,-999,-999,1960,1960,1960,1960
VICTORIA TILLICUM,BRITISH COLUMBIA,1018660,127,48.45,-123.39,22,1958,2000,-999,-999,1958,2000,1958,2000
VICTORIA TUDOR AVENUE,BRITISH COLUMBIA,1018666,128,48.45,-123.27,21,1962,1963,-999,-999,1962,1963,1962,1963
WILLIAM HEAD,BRITISH COLUMBIA,1018935,129,48.34,-123.54,12,1959,2018,-999,-999,1959,2018,1959,2007
VICTORIA U VIC,BRITISH COLUMBIA,1018FF6,107,48.47,-123.33,68,1974,1988,-999,-999,1974,1988,1974,1988
VICTORIA HARTLAND CS,BRITISH COLUMBIA,1018FJ5,11007,48.53,-123.46,154,1994,2012,1994,2012,1994,2012,1994,2005
YOUBOU,BRITISH COLUMBIA,1019010,130,48.88,-124.22,173,1959,1967,-999,-999,1959,1967,1959,1967
YOUBOU SCHOOL,BRITISH COLUMBIA,1019014,131,48.88,-124.22,189,1971,1973,-999,-999,1971,1973,1971,1973
CHEMAINUS BARE POINT,BRITISH COLUMBIA,101AE00,2,48.92,-123.7,3,1979,1979,-999,-999,1979,1979,1979,1979
GALIANO SOUTH,BRITISH COLUMBIA,101C04E,4,48.87,-123.32,15,1977,1978,-999,-999,1977,1978,1977,1978
GALIANO SOUTH 2,BRITISH COLUMBIA,101C0ME,3,48.88,-123.35,61,1979,1984,-999,-999,1979,1984,1979,1984
SAANICHTON MT NEWTON 2,BRITISH COLUMBIA,101F940,6807,48.6,-123.45,68,1993,1995,-999,-999,1993,1995,1993,1995
SAANICH OLDFIELD NORTH,BRITISH COLUMBIA,101F942,5,48.55,-123.42,69,1965,1967,-999,-999,1965,1967,1966,1967
SATURNA ISLAND CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,101G100,7997,48.78,-123.05,24,1980,1992,1980,1992,-999,-999,-999,-999
VICTORIA WEST,BRITISH COLUMBIA,101H6FF,9,48.43,-123.38,15,1967,1968,-999,-999,1967,1968,1967,1968
VICTORIA WILLOWS PARK,BRITISH COLUMBIA,101HF66,8,48.43,-123.3,9,1970,1979,-999,-999,1970,1979,1970,1979
VICTORIA PHYLLIS STREET,BRITISH COLUMBIA,101HFEE,6,48.46,-123.27,7,1973,2001,-999,-999,1973,2001,1973,2001
VICTORIA PORTAGE INLET,BRITISH COLUMBIA,101HFNE,7,48.45,-123.43,6,1976,1983,-999,-999,1976,1983,1976,1983
CORDOVA BAY CLAREMOUNT,BRITISH COLUMBIA,101J9K0,6808,48.52,-123.37,80,1993,1995,-999,-999,1993,1995,1993,1995
VICTORIA PRINCESS AVE,BRITISH COLUMBIA,101Q655,13,48.43,-123.35,27,1973,1991,-999,-999,1973,1991,1973,1991
VICTORIA PROSPECT LAKE,BRITISH COLUMBIA,101Q6NN,12,48.52,-123.43,61,1973,1986,-999,-999,1973,1986,1973,1986
VICTORIA SHELBOURNE,BRITISH COLUMBIA,101QF57,11,48.47,-123.33,49,1964,1991,-999,-999,1964,1991,1964,1991
VICTORIA SHORT STREET,BRITISH COLUMBIA,101QFEG,10,48.45,-123.37,21,1961,1973,-999,-999,1961,1973,1961,1973
ALERT BAY,BRITISH COLUMBIA,1020270,137,50.58,-126.93,59,1913,2006,1954,1994,1913,2006,1913,1994
BALLENAS ISLAND,BRITISH COLUMBIA,1020590,138,49.35,-124.16,14,1966,2019,1994,2019,1966,2019,1967,2007
BLACK CREEK,BRITISH COLUMBIA,1020880,139,49.85,-125.13,46,1964,2008,-999,-999,1964,2008,1964,2005
BLACK CREEK SE,BRITISH COLUMBIA,1020881,45507,49.8,-125.09,87,2006,2016,-999,-999,2006,2016,2006,2007
BLIND CHANNEL,BRITISH COLUMBIA,1020885,140,50.42,-125.5,3,1956,1993,-999,-999,1956,1993,1956,1993
BOWSER,BRITISH COLUMBIA,1020910,141,49.45,-124.67,3,1957,1958,-999,-999,1957,1958,1957,1958
NANAIMO HARBOUR,BRITISH COLUMBIA,1021052,26822,49.17,-123.93,5,1994,1995,1994,1995,-999,-999,-999,-999
CAMERON LAKE,BRITISH COLUMBIA,1021230,142,49.28,-124.58,193,1924,1986,-999,-999,1924,1986,1924,1986
CAMPBELL LAKE,BRITISH COLUMBIA,1021250,143,50.02,-125.4,15,1919,1933,-999,-999,1919,1933,1919,1933
CAMPBELL RIVER,BRITISH COLUMBIA,1021260,144,50.02,-125.3,79,1936,1969,-999,-999,1936,1969,1936,1969
CAMPBELL RIVER A,BRITISH COLUMBIA,1021261,145,49.95,-125.27,108,1965,2019,1979,2013,1965,2019,1965,2007
CAMPBELL RIVER BCFS,BRITISH COLUMBIA,1021262,146,50.07,-125.32,128,1969,1982,-999,-999,1969,1982,1969,1982
CAMPBELL RIVER BCHPA GEN,BRITISH COLUMBIA,1021263,147,50.05,-125.32,30,1972,1982,-999,-999,1972,1982,1972,1982
CAMPBELL R LAKEVIEW FC,BRITISH COLUMBIA,1021264,148,50.2,-125.55,198,1970,1973,-999,-999,1970,1973,1970,1973
CAMPBELL RIVER STP,BRITISH COLUMBIA,1021265,149,50.02,-125.23,3,1982,1996,-999,-999,1982,1996,1982,1996
CAMPBELL RIVER SURFSIDE,BRITISH COLUMBIA,1021266,150,49.95,-125.21,9,1981,2015,-999,-999,1981,2015,1981,2007
CAMPBELL RIVER A,BRITISH COLUMBIA,1021267,51317,49.95,-125.27,108,2013,2019,2013,2019,-999,-999,-999,-999
CAMPBELL RIVER A,BRITISH COLUMBIA,1021270,52979,49.95,-125.27,108,2014,2019,2014,2019,2018,2019,-999,-999
CAPE LAZO,BRITISH COLUMBIA,1021320,151,49.7,-124.87,38,1935,1962,-999,-999,1935,1962,1935,1962
CAPE MUDGE,BRITISH COLUMBIA,1021330,152,50.0,-125.2,4,1978,2019,1994,2001,1978,2019,1978,2007
CAPE MUDGE CS,BRITISH COLUMBIA,1021332,27382,50.0,-125.2,4,1998,1998,1998,1998,-999,-999,-999,-999
CHATHAM POINT,BRITISH COLUMBIA,1021480,153,50.33,-125.45,22,1958,2019,1994,2001,1958,2019,1958,2007
CHROME ISLAND,BRITISH COLUMBIA,1021500,51678,49.47,-124.68,10,2013,2019,-999,-999,2013,2019,-999,-999
CHROME ISLAND,BRITISH COLUMBIA,1021616,27289,49.47,-124.68,11,1997,1998,1997,1998,1998,1998,-999,-999
COAL HARBOUR RUPERT IN,BRITISH COLUMBIA,1021737,154,50.6,-127.5,57,1968,1996,-999,-999,1968,1996,1968,1996
COMOX A,BRITISH COLUMBIA,1021830,155,49.72,-124.9,25,1944,2019,1953,2019,1944,2019,1944,2017
COMOX PCC,BRITISH COLUMBIA,1021838,156,49.69,-125.03,11,1984,2005,-999,-999,1984,2005,1984,2005
COOMBS,BRITISH COLUMBIA,1021850,157,49.31,-124.43,98,1960,2010,-999,-999,1960,2010,1960,2007
CORTES ISLAND,BRITISH COLUMBIA,1021950,158,50.08,-125.03,6,1947,1995,-999,-999,1947,1995,1947,1995
CORTES ISL SUTIL POINT,BRITISH COLUMBIA,1021958,159,50.02,-124.98,15,1973,1986,-999,-999,1973,1986,1973,1986
CORTES ISLAND TIBER BAY,BRITISH COLUMBIA,1021960,160,50.07,-124.95,15,1960,2019,-999,-999,1960,2019,1960,2007
COURTENAY GRANTHAM,BRITISH COLUMBIA,1021988,161,49.76,-125.0,81,1960,2019,-999,-999,1960,2019,1960,2007
COURTENAY PUNTLEDGE,BRITISH COLUMBIA,1021989,162,49.69,-125.03,40,1984,2019,-999,-999,1984,2019,1984,2007
COURTENAY PUNTLEDGE BCHP,BRITISH COLUMBIA,1021990,163,49.68,-125.03,24,1921,1964,-999,-999,1921,1964,1921,1964
COURTENAY SANDWICK,BRITISH COLUMBIA,1021994,164,49.7,-124.97,76,1989,1993,-999,-999,1989,1993,1989,1993
CUMBERLAND,BRITISH COLUMBIA,1022250,165,49.62,-125.03,159,1893,1977,-999,-999,1893,1977,1893,1977
DENMAN ISLAND,BRITISH COLUMBIA,1022430,166,49.52,-124.78,13,1906,1993,-999,-999,1906,1993,1906,1993
DENMAN ISLAND EAST SHORE,BRITISH COLUMBIA,1022433,167,49.52,-124.74,13,1987,1989,-999,-999,1987,1989,1987,1989
DENMAN ISLAND 2,BRITISH COLUMBIA,1022436,168,49.55,-124.8,92,1989,1996,-999,-999,1989,1996,1989,1996
DUNCAN BAY,BRITISH COLUMBIA,1022560,169,50.07,-125.28,11,1957,1994,-999,-999,1957,1994,1957,1994
DUNCAN GLENORA,BRITISH COLUMBIA,1022571,26990,48.76,-123.77,84,1994,2010,-999,-999,1994,2010,1994,2007
ENTRANCE ISLAND,BRITISH COLUMBIA,1022688,170,49.2,-123.8,3,1914,1918,-999,-999,1914,1918,1914,1918
ENTRANCE ISLAND,BRITISH COLUMBIA,1022689,29411,49.21,-123.81,7,1992,2019,1994,2019,1992,2019,1992,2006
FANNY ISLAND,BRITISH COLUMBIA,1022795,29733,50.45,-125.99,5,2000,2019,2000,2019,2000,2019,2000,2007
FRENCH CREEK,BRITISH COLUMBIA,1023037,171,49.35,-124.37,38,1892,1903,-999,-999,1892,1903,1892,1903
GABRIOLA ISLAND,BRITISH COLUMBIA,1023042,172,49.15,-123.73,46,1967,2017,-999,-999,1967,2017,1967,2007
HERIOT BAY SE,BRITISH COLUMBIA,1023462,173,50.1,-125.2,17,1984,2019,-999,-999,1984,2019,1984,2007
HILLIERS,BRITISH COLUMBIA,1023471,174,49.3,-124.5,150,1987,1988,-999,-999,1987,1988,1987,1988
HORNBY ISLAND,BRITISH COLUMBIA,1023590,175,49.53,-124.6,6,1907,1970,-999,-999,1907,1970,1907,1970
KELSEY BAY,BRITISH COLUMBIA,1024005,176,50.38,-125.95,4,1954,1956,-999,-999,1954,1956,1954,1956
LADYSMITH,BRITISH COLUMBIA,1024485,177,48.95,-123.65,24,1913,1923,-999,-999,1913,1923,1913,1923
LASQUETI ISLAND,BRITISH COLUMBIA,1024590,178,49.5,-124.33,4,1950,1954,-999,-999,1950,1954,1950,1954
LAZO,BRITISH COLUMBIA,1024592,179,49.73,-124.9,3,1914,1927,-999,-999,1914,1927,1914,1927
LITTLE QUALICUM,BRITISH COLUMBIA,1024637,180,49.35,-124.78,186,1908,1921,-999,-999,1908,1921,1908,1921
LITTLE QUALICUM HATCHERY,BRITISH COLUMBIA,1024638,181,49.35,-124.51,30,1981,2019,-999,-999,1981,2019,1981,2007
